"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","Fence","MiscFeature","MiscVal","MoSold","YrSold","SalePrice"
"11",11,20,2,70,11200,1,2,3,3,2,3,2,2,2,1,5,5,1965,1965,2,2,1,4,4,3,3,2,2,906,1,0,134,1040,2,5,5,1040,0,0,1040,0,1,0,3,1,3,5,3,0,3,1965,1,1,384,3,3,2,0,0,0,0,0,0,1,1,0,1,2008,129500
"12",12,60,2,85,11924,1,2,3,3,2,3,2,2,2,4,9,5,2005,2006,2,2,4,7,4,5,3,2,6,998,1,0,177,1175,2,5,5,1182,1142,0,2324,0,3,0,4,1,5,11,3,2,5,2005,4,3,736,3,3,2,147,21,0,0,0,0,1,1,0,1,2006,345000
"13",13,20,2,68,12968,1,2,3,3,2,3,2,2,2,1,5,6,1962,1962,2,3,1,4,4,3,3,2,5,737,1,0,175,912,2,3,5,912,0,0,912,0,1,0,2,1,3,4,3,0,3,1962,1,1,352,3,3,2,140,0,0,0,176,0,1,1,0,1,2008,144000
"14",14,20,2,91,10652,1,2,3,3,2,3,2,2,2,1,7,5,2006,2007,3,3,4,5,4,4,3,4,1,0,1,0,1494,1494,2,5,5,1494,0,0,1494,0,2,0,3,1,4,7,3,1,5,2006,2,3,840,3,3,2,160,33,0,0,0,0,1,1,0,1,2007,279500
"15",15,20,2,70,10920,1,2,3,2,2,3,2,2,2,1,6,5,1960,1960,2,2,4,4,4,3,3,2,3,733,1,0,520,1253,2,3,5,1253,0,0,1253,0,1,1,2,1,3,5,3,1,5,1960,2,1,352,3,3,2,0,213,176,0,0,0,1,1,0,1,2008,157000
"16",16,45,3,51,6120,1,2,3,2,2,3,2,2,2,2,7,8,1929,2001,2,2,1,4,4,3,3,2,1,0,1,0,832,832,2,5,5,854,0,0,854,0,1,0,2,1,3,5,3,0,3,1991,1,2,576,3,3,2,48,112,0,0,0,0,2,1,0,1,2007,132000
"17",17,20,2,65,11241,1,2,3,4,2,3,2,2,2,1,6,7,1970,1970,2,2,4,4,4,3,3,2,5,578,1,0,426,1004,2,5,5,1004,0,0,1004,0,1,0,2,1,3,5,3,1,5,1970,4,2,480,3,3,2,0,0,0,0,0,0,1,1,700,1,2010,149000
"18",18,90,2,72,10791,1,2,3,3,2,3,2,2,1,1,4,5,1967,1967,2,2,1,4,4,1,1,2,1,0,1,0,0,0,2,3,5,1296,0,0,1296,0,2,0,2,2,3,6,3,0,2,1967,1,2,516,3,3,2,0,0,0,0,0,0,1,1,500,1,2006,90000
"19",19,20,2,66,13695,1,2,3,3,2,3,0,2,2,1,5,5,2004,2004,3,3,1,4,4,3,3,2,6,646,1,0,468,1114,2,5,5,1114,0,0,1114,0,1,1,3,1,4,6,3,0,3,2004,1,2,576,3,3,2,0,102,0,0,0,0,1,1,0,1,2008,159000
"20",20,20,2,70,7560,1,2,3,3,2,3,2,2,2,1,5,6,1958,1965,5,3,1,4,4,3,3,2,1,504,1,0,525,1029,2,3,5,1339,0,0,1339,0,1,0,3,1,3,6,2,0,5,1958,1,1,294,3,3,2,0,0,0,0,0,0,1,1,0,1,2009,139000
"21",21,60,2,101,14215,1,2,3,2,2,3,2,2,2,4,8,5,2005,2006,3,3,4,5,4,5,3,4,1,0,1,0,1158,1158,2,5,5,1158,1218,0,2376,0,3,1,4,1,4,9,3,1,5,2005,2,3,853,3,3,2,240,154,0,0,0,0,1,1,0,1,2006,325300
"22",22,45,3,57,7449,1,1,3,3,2,3,2,2,2,2,7,7,1930,1950,2,2,1,4,4,3,3,2,1,0,1,0,637,637,2,5,5,1108,0,0,1108,0,1,0,3,1,4,6,3,1,5,1930,1,1,280,3,3,1,0,0,205,0,0,0,2,1,0,1,2007,139400
"23",23,20,2,75,9742,1,2,3,3,2,3,2,2,2,1,8,5,2002,2002,3,3,4,5,4,4,3,2,1,0,1,0,1777,1777,2,5,5,1795,0,0,1795,0,2,0,3,1,4,7,3,1,5,2002,2,2,534,3,3,2,171,159,0,0,0,0,1,1,0,1,2008,230000
"24",24,120,3,44,4224,1,2,3,3,2,3,2,2,2,1,5,7,1976,1976,2,2,1,4,4,4,3,2,6,840,1,0,200,1040,2,3,5,1060,0,0,1060,0,1,0,3,1,3,6,3,1,5,1976,1,2,572,3,3,2,100,110,0,0,0,0,1,1,0,1,2007,129900
"25",25,20,2,55,8246,1,2,3,3,2,3,2,2,2,1,5,8,1968,2001,3,3,1,4,5,3,3,3,2,188,5,668,204,1060,2,5,5,1060,0,0,1060,0,1,0,3,1,4,6,3,1,5,1968,1,1,270,3,3,2,406,90,0,0,0,0,1,1,0,1,2010,154000
"26",26,20,2,110,14230,1,2,3,2,2,3,2,2,2,1,8,5,2007,2007,3,3,4,5,4,4,3,2,1,0,1,0,1566,1566,2,5,5,1600,0,0,1600,0,2,0,3,1,4,7,3,1,5,2007,2,3,890,3,3,2,0,56,0,0,0,0,1,1,0,1,2009,256300
"27",27,20,2,60,7200,1,2,3,2,2,3,2,2,2,1,5,7,1951,2000,2,2,1,4,4,3,3,3,3,234,2,486,180,900,2,3,5,900,0,0,900,1,1,0,3,1,4,5,3,0,3,2005,1,2,576,3,3,2,222,32,0,0,0,0,1,1,0,1,2010,134800
"28",28,20,2,98,11478,1,2,3,3,2,3,2,2,2,1,8,5,2007,2008,3,3,4,5,4,5,3,2,6,1218,1,0,486,1704,2,5,5,1704,0,0,1704,0,2,0,3,1,4,7,3,1,5,2008,2,3,772,3,3,2,0,50,0,0,0,0,1,1,0,1,2010,306000
"29",29,20,2,47,16321,1,2,3,4,2,3,2,2,2,1,5,6,1957,1997,2,2,1,4,4,3,3,5,3,1277,1,0,207,1484,2,3,5,1600,0,0,1600,0,1,0,2,1,3,6,3,2,5,1957,2,1,319,3,3,2,288,258,0,0,0,0,1,1,0,1,2006,207500
"30",30,30,3,60,6324,1,2,3,3,2,3,1,0,2,1,4,6,1927,1950,2,2,1,4,4,3,3,2,1,0,1,0,520,520,2,2,2,520,0,0,520,0,1,0,1,1,2,4,3,0,3,1920,1,1,240,2,3,2,49,0,87,0,0,0,1,1,0,1,2008,68500
"31",31,70,1,50,8500,1,2,3,3,2,3,1,2,2,4,4,4,1920,1950,5,5,1,4,3,3,3,2,1,0,1,0,649,649,2,3,2,649,668,0,1317,0,1,0,3,1,3,6,3,0,3,1920,1,1,250,3,2,1,0,54,172,0,0,0,1,1,0,1,2008,40000
"32",32,20,2,66,8544,1,2,3,4,2,3,2,2,2,1,5,6,1966,2006,2,2,1,4,4,3,3,2,1,0,1,0,1228,1228,2,4,5,1228,0,0,1228,0,1,1,3,1,4,6,3,0,5,1966,1,1,271,3,3,2,0,65,0,0,0,0,1,1,0,1,2008,149350
"33",33,20,2,85,11049,1,2,3,2,2,3,2,2,2,1,8,5,2007,2007,3,3,1,5,4,5,3,4,1,0,1,0,1234,1234,2,5,5,1234,0,0,1234,0,2,0,3,1,4,7,3,0,5,2007,2,2,484,3,3,2,0,30,0,0,0,0,1,1,0,1,2008,179900
"34",34,20,2,70,10552,1,2,3,3,2,3,2,2,2,1,5,5,1959,1959,5,5,1,4,4,3,3,2,2,1018,1,0,380,1398,2,4,5,1700,0,0,1700,1,1,1,4,1,4,6,3,1,5,1959,2,2,447,3,3,2,0,38,0,0,0,0,1,1,0,1,2010,165500
"35",35,120,2,60,7313,1,2,3,3,2,3,2,2,2,1,9,5,2005,2005,2,2,4,7,4,5,3,2,6,1153,1,0,408,1561,2,5,5,1561,0,0,1561,0,2,0,2,1,5,6,3,1,5,2005,4,2,556,3,3,2,203,47,0,0,0,0,1,1,0,1,2007,277500
"36",36,60,2,108,13418,1,2,3,3,2,3,2,2,2,4,8,5,2004,2005,3,3,4,5,4,5,3,4,1,0,1,0,1117,1117,2,5,5,1132,1320,0,2452,0,3,1,4,1,4,9,3,1,5,2004,4,3,691,3,3,2,113,32,0,0,0,0,1,1,0,1,2006,309000
"37",37,20,2,112,10859,1,2,3,2,2,3,2,2,2,1,5,5,1994,1995,3,3,1,4,4,4,3,2,1,0,1,0,1097,1097,2,5,5,1097,0,0,1097,0,1,1,3,1,3,6,3,0,5,1995,1,2,672,3,3,2,392,64,0,0,0,0,1,1,0,1,2009,145000
"38",38,20,2,74,8532,1,2,3,3,2,3,2,2,2,1,5,6,1954,1990,2,2,4,4,4,3,3,2,2,1213,1,0,84,1297,2,4,5,1297,0,0,1297,1,1,0,3,1,3,5,3,1,5,1954,4,2,498,3,3,2,0,0,0,0,0,0,1,1,0,1,2009,153000
"39",39,20,2,68,7922,1,2,3,3,2,3,2,2,2,1,5,7,1953,2007,3,3,1,4,5,3,3,2,6,731,1,0,326,1057,2,3,5,1057,0,0,1057,0,1,0,3,1,4,5,3,0,3,1953,1,1,246,3,3,2,0,52,0,0,0,0,1,1,0,1,2010,109000
"40",40,90,2,65,6040,1,2,3,3,2,3,2,2,1,1,4,5,1955,1955,3,3,1,4,4,1,1,2,1,0,1,0,0,0,2,3,2,1152,0,0,1152,0,2,0,2,2,2,6,3,0,1,1910,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,2008,82000
"41",41,20,2,84,8658,1,2,3,3,2,3,2,2,2,1,6,5,1965,1965,2,2,4,4,4,3,3,2,2,643,1,0,445,1088,2,5,5,1324,0,0,1324,0,2,0,3,1,3,6,3,1,5,1965,2,2,440,3,3,2,0,138,0,0,0,0,1,1,0,1,2006,160000
"42",42,20,2,115,16905,1,2,3,3,2,3,2,2,2,1,5,6,1959,1959,3,3,1,4,5,3,3,5,3,967,1,0,383,1350,2,4,5,1328,0,0,1328,1,1,1,2,1,3,5,3,2,5,1959,2,1,308,3,3,1,0,104,0,0,0,0,1,1,0,1,2007,170000
"43",43,85,2,70,9180,1,2,3,4,2,3,2,2,2,1,5,7,1983,1983,2,2,1,4,4,4,3,4,5,747,1,93,0,840,2,4,5,884,0,0,884,0,1,0,2,1,4,5,3,0,5,1983,2,2,504,3,4,2,240,0,0,0,0,0,1,1,0,1,2007,144000
"44",44,20,2,60,9200,1,2,3,4,2,3,2,2,2,1,5,6,1975,1980,3,3,1,4,4,4,3,4,1,280,3,491,167,938,2,3,5,938,0,0,938,0,1,0,3,1,3,5,3,0,3,1977,1,1,308,3,3,2,145,0,0,0,0,0,1,1,0,1,2008,130250
"45",45,20,2,70,7945,1,2,3,3,2,3,2,2,2,1,5,6,1959,1959,5,2,1,4,4,3,3,2,5,179,3,506,465,1150,2,5,5,1150,0,0,1150,0,1,0,3,1,3,6,3,0,5,1959,2,1,300,3,3,2,0,0,0,0,0,0,1,1,0,1,2006,141000
"46",46,120,2,61,7658,1,2,3,3,2,3,2,2,2,1,9,5,2005,2005,2,2,4,7,4,5,3,2,6,456,1,0,1296,1752,2,5,5,1752,0,0,1752,0,2,0,2,1,5,6,3,1,5,2005,2,2,576,3,3,2,196,82,0,0,0,0,1,1,0,1,2010,319900
"47",47,50,2,48,12822,1,2,3,4,2,3,2,2,2,3,7,5,2003,2003,3,3,1,5,4,5,3,2,6,1351,1,0,83,1434,2,5,5,1518,631,0,2149,0,1,1,1,1,4,6,3,1,5,2003,2,2,670,3,3,2,168,43,0,0,198,0,1,1,0,1,2009,239686
"48",48,20,0,84,11096,1,2,3,3,2,3,2,2,2,1,8,5,2006,2006,3,3,1,5,4,4,3,4,6,24,1,0,1632,1656,2,5,5,1656,0,0,1656,0,2,0,3,1,4,7,3,0,5,2006,2,3,826,3,3,2,0,146,0,0,0,0,1,1,0,1,2007,249700
"49",49,190,3,33,4456,1,2,3,3,2,3,2,2,1,4,4,5,1920,2008,2,2,1,4,4,3,3,2,1,0,1,0,736,736,2,4,5,736,716,0,1452,0,2,0,2,3,3,8,3,0,1,1916,1,0,0,1,1,1,0,0,102,0,0,0,1,1,0,1,2009,113000
"50",50,20,2,66,7742,1,2,3,3,2,3,2,2,2,1,5,7,1966,1966,2,2,1,4,4,3,3,2,3,763,1,0,192,955,2,5,5,955,0,0,955,0,1,0,3,1,3,6,3,0,5,1966,1,1,386,3,3,2,0,0,0,0,0,0,1,1,0,1,2007,127000
"51",51,60,2,75,13869,1,2,3,2,2,3,2,2,2,4,6,6,1997,1997,3,3,1,4,4,4,3,4,6,182,1,0,612,794,2,4,5,794,676,0,1470,1,2,0,3,1,3,6,3,0,5,1997,4,2,388,3,3,2,0,75,0,0,0,0,1,1,0,1,2007,177000
"52",52,50,3,52,6240,1,2,3,3,2,3,2,2,2,3,6,6,1934,1950,2,2,1,4,4,3,3,2,1,0,1,0,816,816,2,3,5,816,0,360,1176,0,1,0,3,1,3,6,3,1,3,1985,1,2,528,3,3,2,112,0,0,0,0,0,1,1,400,1,2006,114500
"53",53,90,3,110,8472,0,1,3,2,1,3,0,2,1,1,5,5,1963,1963,2,2,1,3,4,4,3,5,1,104,6,712,0,816,2,3,2,816,0,0,816,0,1,0,2,1,3,5,3,0,2,1963,1,2,516,3,3,2,106,0,0,0,0,0,1,1,0,1,2010,110000
"54",54,20,2,68,50271,1,0,3,3,2,3,2,2,2,1,9,5,1981,1987,2,2,1,5,4,5,3,5,6,1810,1,0,32,1842,2,4,5,1842,0,0,1842,0,0,1,0,1,4,5,3,1,5,1981,4,3,894,3,3,2,857,72,0,0,0,0,1,1,0,1,2006,385000
"55",55,80,2,60,7134,1,1,3,3,1,3,2,2,2,1,5,5,1955,1955,2,2,1,4,4,3,3,2,5,384,1,0,0,384,2,3,5,1360,0,0,1360,0,1,0,3,1,3,6,2,1,3,1962,1,2,572,3,3,2,0,50,0,0,0,0,1,1,0,1,2007,130000
"56",56,20,2,100,10175,1,2,3,3,2,3,2,2,2,1,6,5,1964,1964,2,3,4,4,4,3,3,2,3,490,1,0,935,1425,2,4,5,1425,0,0,1425,0,2,0,3,1,3,7,3,1,5,1964,2,2,576,3,3,2,0,0,0,407,0,0,1,1,0,1,2008,180500
"57",57,160,0,24,2645,1,2,3,3,2,3,2,2,1,4,8,5,1999,2000,2,2,4,5,4,4,3,2,6,649,1,0,321,970,2,5,5,983,756,0,1739,0,2,1,3,1,4,7,3,0,5,1999,4,2,480,3,3,2,115,0,0,0,0,0,1,1,0,1,2009,172500
"58",58,60,2,89,11645,1,2,3,2,2,3,2,2,2,4,7,5,2004,2004,3,3,1,5,4,4,3,2,1,0,1,0,860,860,2,5,5,860,860,0,1720,0,2,1,3,1,4,7,3,0,5,2004,2,2,565,3,3,2,0,70,0,0,0,0,1,1,0,1,2006,196500
"59",59,60,2,66,13682,1,3,3,4,2,3,2,2,2,4,10,5,2006,2006,3,3,4,7,4,5,3,5,1,0,1,0,1410,1410,2,5,5,1426,1519,0,2945,0,3,1,3,1,4,10,3,1,5,2006,4,3,641,3,3,2,192,0,37,0,0,0,1,1,0,1,2006,438780
"60",60,20,2,60,7200,1,1,3,3,2,3,2,2,2,1,5,7,1972,1972,2,2,1,4,4,3,3,4,5,632,1,0,148,780,2,5,5,780,0,0,780,0,1,0,2,1,3,4,3,0,3,1973,1,1,352,3,3,2,196,0,0,0,0,0,1,1,0,1,2008,124900
"61",61,20,2,63,13072,1,2,3,3,2,3,0,2,2,1,6,5,2004,2004,3,3,1,4,4,4,3,2,5,941,1,0,217,1158,2,5,5,1158,0,0,1158,0,1,1,3,1,4,5,3,0,3,2006,1,2,576,3,3,2,0,50,0,0,0,0,1,1,0,1,2006,158000
"62",62,75,3,60,7200,1,2,3,3,2,3,2,2,2,5,5,7,1920,1996,2,2,1,4,4,3,2,2,1,0,1,0,530,530,2,3,2,581,530,0,1111,0,1,0,3,1,2,6,3,0,3,1935,1,1,288,3,3,1,0,0,144,0,0,0,1,1,0,1,2007,101000
"63",63,120,2,44,6442,1,2,3,3,2,3,2,2,2,1,8,5,2006,2006,3,3,4,5,4,4,4,3,6,24,1,0,1346,1370,2,5,5,1370,0,0,1370,0,2,0,2,1,4,6,3,1,5,2006,2,2,484,3,3,2,120,49,0,0,0,0,1,1,0,1,2007,202500
"64",64,70,3,50,10300,1,1,3,3,2,3,0,1,2,4,7,6,1921,1950,5,5,1,4,4,3,3,2,1,0,1,0,576,576,2,4,5,902,808,0,1710,0,2,0,3,1,3,9,3,0,3,1990,1,2,480,3,3,2,12,11,64,0,0,0,2,1,0,1,2010,140000
"65",65,60,2,44,9375,1,2,3,3,2,3,2,2,2,4,7,5,1997,1998,3,3,4,4,4,4,3,2,6,739,1,0,318,1057,2,5,5,1057,977,0,2034,0,2,1,3,1,4,8,3,0,5,1998,2,2,645,3,3,2,576,36,0,0,0,0,2,1,0,1,2009,219500
"66",66,60,2,76,9591,1,2,3,3,2,3,2,2,2,4,8,5,2004,2005,3,3,4,5,4,5,3,4,1,0,1,0,1143,1143,2,5,5,1143,1330,0,2473,0,2,1,4,1,4,9,3,1,5,2004,2,3,852,3,3,2,192,151,0,0,0,0,1,1,0,1,2007,317000
"67",67,20,2,68,19900,1,2,3,3,2,3,3,2,2,1,7,5,1970,1989,3,3,4,4,4,4,3,5,6,912,1,0,1035,1947,2,3,5,2207,0,0,2207,0,2,0,3,1,3,7,2,1,5,1970,2,2,576,3,3,2,301,0,0,0,0,0,1,1,0,1,2010,180000
"68",68,20,2,72,10665,1,2,3,3,2,3,2,2,2,1,7,5,2003,2003,3,3,4,5,4,4,3,4,6,1013,1,0,440,1453,2,5,5,1479,0,0,1479,0,2,0,3,1,4,7,3,0,5,2003,2,2,558,3,3,2,144,29,0,0,0,0,1,1,0,1,2007,226000
"69",69,30,3,47,4608,1,2,3,2,2,3,1,2,2,1,4,6,1945,1950,2,2,1,4,5,3,3,2,1,0,1,0,747,747,2,3,5,747,0,0,747,0,1,0,2,1,3,4,3,0,5,1945,1,1,220,3,3,2,0,0,0,0,0,0,1,1,0,1,2010,80000
"70",70,50,2,81,15593,1,2,3,2,2,3,2,2,2,3,7,4,1953,1953,5,3,1,5,4,3,3,2,3,603,1,0,701,1304,2,3,5,1304,983,0,2287,0,2,0,3,1,3,7,3,1,5,1953,4,2,667,3,3,2,0,21,114,0,0,0,1,1,0,1,2006,225000
"71",71,20,2,95,13651,1,2,3,3,2,3,2,2,2,1,7,6,1973,1973,3,3,4,4,5,4,3,5,5,1880,1,0,343,2223,2,5,5,2223,0,0,2223,0,2,0,3,1,3,8,3,2,5,1973,4,2,516,3,3,2,300,0,0,0,0,0,1,1,0,1,2007,244000
"72",72,20,2,69,7599,1,2,3,2,2,3,2,2,2,1,4,6,1982,2006,2,3,1,4,4,3,3,2,5,565,1,0,280,845,2,3,5,845,0,0,845,0,1,0,2,1,3,4,3,0,3,1987,1,2,360,3,3,2,0,0,0,0,0,0,1,1,0,1,2007,129500
"73",73,60,2,74,10141,1,2,3,2,2,3,2,2,2,4,7,5,1998,1998,3,3,4,4,4,4,3,2,1,0,1,0,832,832,2,4,5,885,833,0,1718,0,2,1,3,1,3,7,3,1,5,1998,4,2,427,3,3,2,0,94,0,0,291,0,1,1,0,1,2009,185000
"74",74,20,2,85,10200,1,2,3,3,2,3,2,2,2,1,5,7,1954,2003,2,2,4,4,4,3,3,2,5,320,3,362,404,1086,2,4,5,1086,0,0,1086,0,1,0,3,1,3,6,3,0,5,1989,1,2,490,3,3,2,0,0,0,0,0,0,1,1,0,1,2010,144900
"75",75,50,3,60,5790,1,2,3,2,2,3,2,2,2,4,3,6,1915,1950,3,3,1,5,5,2,3,2,1,0,1,0,840,840,2,4,2,840,765,0,1605,0,2,0,3,2,3,8,3,0,3,1915,1,1,379,3,3,2,0,0,202,0,0,0,1,1,0,1,2010,107400
"76",76,180,3,21,1596,1,2,3,3,2,3,2,2,1,1,4,5,1973,1973,2,2,1,4,4,4,3,5,6,462,1,0,0,462,2,3,5,526,462,0,988,0,1,0,2,1,3,5,3,0,5,1973,1,1,297,3,3,2,120,101,0,0,0,0,1,1,0,1,2009,91000
"77",77,20,2,53,8475,1,2,3,3,2,3,2,2,2,1,4,7,1956,1956,3,3,1,4,4,3,3,2,5,228,1,0,724,952,2,5,5,952,0,0,952,0,1,0,2,1,3,4,3,0,3,1956,1,1,283,3,3,2,0,0,0,0,0,0,1,1,0,1,2008,135750
"78",78,50,3,50,8635,1,2,3,3,2,3,2,2,2,3,5,5,1948,2001,2,2,1,4,4,3,3,2,3,336,6,41,295,672,2,3,5,1072,213,0,1285,0,1,0,2,1,3,6,2,0,3,1948,1,1,240,3,3,2,0,0,0,0,0,0,1,1,0,1,2008,127000
"79",79,90,2,72,10778,1,2,3,3,2,3,2,2,1,1,4,5,1968,1968,2,2,1,4,4,3,3,2,1,0,1,0,1768,1768,2,3,2,1768,0,0,1768,0,2,0,4,2,3,8,3,0,1,1916,1,0,0,1,1,2,0,0,0,0,0,0,1,1,0,1,2010,136500
"80",80,50,3,60,10440,1,2,3,2,2,3,2,2,2,4,5,6,1910,1981,2,2,1,4,4,3,3,2,1,0,1,0,440,440,2,4,5,682,548,0,1230,0,1,1,2,1,3,5,3,0,3,1966,1,2,440,3,3,2,74,0,128,0,0,0,1,1,0,1,2009,110000
"81",81,60,2,100,13000,1,2,3,2,2,3,2,2,2,4,6,6,1968,1968,3,3,4,4,5,4,3,2,2,448,1,0,448,896,2,3,5,1182,960,0,2142,0,2,1,4,1,4,8,3,1,5,1968,4,1,509,3,3,2,0,72,0,0,252,0,1,1,0,1,2009,193500
"82",82,120,3,32,4500,1,2,3,1,2,3,2,2,2,1,6,5,1998,1998,3,3,4,4,5,5,4,2,6,1201,1,0,36,1237,2,5,5,1337,0,0,1337,0,2,0,2,1,3,5,3,0,5,1998,4,2,405,3,3,2,0,199,0,0,0,0,1,1,0,1,2006,153500
"83",83,20,2,78,10206,1,2,3,3,2,3,2,2,2,1,8,5,2007,2007,3,3,4,4,4,4,3,2,6,33,1,0,1530,1563,2,5,5,1563,0,0,1563,0,2,0,3,1,4,6,3,1,5,2007,2,3,758,3,3,2,144,99,0,0,0,0,1,1,0,1,2008,245000
"84",84,20,2,80,8892,1,2,3,3,2,3,2,2,2,1,5,5,1960,1960,2,2,2,4,4,3,3,2,1,0,1,0,1065,1065,2,4,5,1065,0,0,1065,0,1,1,3,1,3,6,3,0,3,1974,1,2,461,3,3,2,74,0,0,0,0,0,1,1,0,1,2007,126500
"85",85,80,2,65,8530,1,2,3,3,2,3,2,2,2,1,7,5,1995,1996,2,2,4,4,4,4,3,2,1,0,1,0,384,384,2,4,5,804,670,0,1474,0,2,1,3,1,3,7,3,1,5,1995,4,2,400,3,3,2,120,72,0,0,0,0,1,1,700,1,2009,168500
"86",86,60,2,121,16059,1,2,3,2,2,3,2,2,2,4,8,5,1991,1992,2,2,4,5,4,4,3,2,1,0,1,0,1288,1288,2,5,5,1301,1116,0,2417,0,2,1,4,1,4,9,3,1,5,1991,1,2,462,3,3,2,127,82,0,0,0,0,1,1,0,1,2006,260000
"87",87,60,2,122,11911,1,2,3,3,2,3,2,2,2,4,6,5,2005,2005,3,3,1,5,4,4,3,4,1,0,1,0,684,684,2,5,5,684,876,0,1560,0,2,1,3,1,4,6,3,1,5,2005,4,2,400,3,3,2,100,38,0,0,0,0,1,1,0,1,2009,174000
