Id,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtQual,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,FireplaceQu,Fireplaces,Foundation,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GrLivArea,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,TotalBsmtSF,WoodDeckSF,YearBuilt_age,NonKitchenBedroomAbvGr,BathRooms
21,0,4,1Fam,5,3,1,1,9,Y,Norm,SBrkr,0,5,7,VinylSd,7,1,PConc,853,3,5,2,5,BuiltIn,2376,GasA,9,2Story,1,7,Lvl,Gtl,14215,Corner,IR1,0,60,RL,380,BrkFace,11,NridgHt,154,5,8,Y,0,CompShg,Gable,Partial,325300,New,0,1158,240,13,4,4
22,0,3,1Fam,5,1,1,1,5,Y,Norm,FuseF,205,5,5,Wd Sdng,7,1,PConc,280,1,5,1,5,Attchd,1108,GasA,9,1.5Unf,1,7,Bnk,Gtl,7449,Inside,Reg,0,45,RM,0,None,6,IDOTRR,0,7,7,N,0,CompShg,Gable,Normal,139400,WD,0,637,0,88,2,1
23,0,3,1Fam,5,1,1,1,7,Y,Norm,SBrkr,0,5,7,VinylSd,7,1,PConc,534,2,5,2,5,Attchd,1795,GasA,9,1Story,1,7,Lvl,Gtl,9742,Inside,Reg,0,20,RL,281,BrkFace,9,CollgCr,159,5,8,Y,0,CompShg,Hip,Normal,230000,WD,0,1777,171,16,3,2
24,0,3,TwnhsE,5,1,6,1,7,Y,Norm,SBrkr,0,5,5,CemntBd,5,1,PConc,572,2,5,1,5,Attchd,1060,GasA,5,1Story,1,5,Lvl,Gtl,4224,Inside,Reg,0,120,RM,0,None,6,MeadowV,110,7,5,Y,0,CompShg,Gable,Normal,129900,WD,0,1040,100,42,2,2
25,0,3,1Fam,5,2,3,5,5,Y,Norm,SBrkr,0,7,5,Plywood,5,1,CBlock,270,1,5,1,5,Attchd,1060,GasA,9,1Story,1,7,Lvl,Gtl,8246,Inside,IR1,0,20,RL,0,None,5,Sawyer,90,8,5,Y,0,CompShg,Gable,Normal,154000,WD,0,1060,406,50,2,2
26,0,3,1Fam,5,1,1,1,7,Y,Norm,SBrkr,0,5,7,VinylSd,7,1,PConc,890,3,5,2,5,Attchd,1600,GasA,9,1Story,1,7,Lvl,Gtl,14230,Corner,Reg,0,20,RL,640,Stone,7,NridgHt,56,5,8,Y,0,CompShg,Gable,Normal,256300,WD,0,1566,0,11,3,2
27,0,3,1Fam,5,2,4,3,5,Y,Norm,SBrkr,0,5,5,Wd Sdng,0,0,CBlock,576,2,5,1,5,Detchd,900,GasA,5,1Story,1,7,Lvl,Gtl,7200,Corner,Reg,0,20,RL,0,None,5,NAmes,32,7,5,Y,0,CompShg,Gable,Normal,134800,WD,0,900,222,67,1,2
28,0,3,1Fam,5,1,6,1,9,Y,Norm,SBrkr,0,5,7,VinylSd,7,1,PConc,772,3,5,2,5,Attchd,1704,GasA,9,1Story,1,7,Lvl,Gtl,11478,Inside,Reg,0,20,RL,200,Stone,5,NridgHt,50,5,8,Y,0,CompShg,Gable,Normal,306000,WD,0,1704,0,11,3,3
29,0,2,1Fam,5,4,4,1,5,Y,Norm,SBrkr,0,5,5,MetalSd,7,2,CBlock,319,1,5,2,5,Attchd,1600,GasA,5,1Story,1,5,Lvl,Gtl,16321,CulDSac,IR1,0,20,RL,0,None,12,NAmes,258,6,5,Y,0,CompShg,Gable,Normal,207500,WD,0,1484,288,61,3,2
30,0,1,1Fam,5,1,1,1,5,N,Feedr,SBrkr,87,5,5,MetalSd,0,0,BrkTil,240,1,5,1,3,Detchd,520,GasA,3,1Story,1,3,Lvl,Gtl,6324,Inside,IR1,0,30,RM,0,None,5,BrkSide,0,6,4,Y,0,CompShg,Gable,Normal,68500,WD,0,520,49,91,2,1
31,0,3,1Fam,5,1,1,1,5,N,Feedr,SBrkr,172,3,5,BrkFace,0,0,BrkTil,250,1,3,1,5,Detchd,1317,GasA,5,2Story,1,5,Lvl,Gtl,8500,Inside,Reg,0,70,C (all),0,None,7,IDOTRR,54,4,4,N,0,CompShg,Gambrel,Normal,40000,WD,0,649,0,98,2,1
32,0,3,1Fam,5,1,1,1,5,Y,Norm,SBrkr,0,5,5,HdBoard,0,0,CBlock,271,1,5,1,5,Attchd,1228,GasA,7,1Story,1,7,Lvl,Gtl,8544,CulDSac,IR1,0,20,RL,0,None,6,Sawyer,65,6,5,Y,0,CompShg,Gable,Normal,149350,WD,0,1228,0,52,2,2
33,0,3,1Fam,5,3,1,1,9,Y,Norm,SBrkr,0,5,7,VinylSd,0,0,PConc,484,2,5,2,5,Attchd,1234,GasA,9,1Story,1,7,Lvl,Gtl,11049,Corner,Reg,0,20,RL,0,None,1,CollgCr,30,5,8,Y,0,CompShg,Gable,Normal,179900,WD,0,1234,0,11,3,2
34,0,4,1Fam,5,1,3,1,5,Y,Norm,SBrkr,0,5,5,BrkFace,7,1,CBlock,447,2,5,2,5,Attchd,1700,GasA,7,1Story,1,7,Lvl,Gtl,10552,Inside,IR1,0,20,RL,0,None,4,NAmes,38,5,5,Y,0,CompShg,Hip,Normal,165500,WD,0,1398,0,59,1,3
35,0,2,TwnhsE,5,1,6,1,9,Y,Norm,SBrkr,0,5,9,MetalSd,7,1,PConc,556,2,5,3,5,Attchd,1561,GasA,9,1Story,1,9,Lvl,Gtl,7313,Inside,Reg,0,120,RL,246,BrkFace,8,NridgHt,47,5,9,Y,0,CompShg,Hip,Normal,277500,WD,0,1561,203,13,3,3
36,0,4,1Fam,5,3,1,1,9,Y,Norm,SBrkr,0,5,7,VinylSd,7,1,PConc,691,3,5,3,5,BuiltIn,2452,GasA,9,2Story,1,7,Lvl,Gtl,13418,Inside,Reg,0,60,RL,132,Stone,9,NridgHt,32,5,8,Y,0,CompShg,Gable,Normal,309000,WD,0,1117,113,14,4,4
37,0,3,1Fam,5,1,1,1,7,Y,Norm,SBrkr,0,5,5,VinylSd,0,0,PConc,672,2,5,1,5,Attchd,1097,GasA,9,1Story,1,5,Lvl,Gtl,10859,Corner,Reg,0,20,RL,0,None,6,CollgCr,64,5,5,Y,0,CompShg,Gable,Normal,145000,WD,0,1097,392,24,2,2
38,0,3,1Fam,5,1,3,1,5,Y,Norm,SBrkr,0,5,5,Wd Sdng,5,1,CBlock,498,2,5,3,5,Attchd,1297,GasA,7,1Story,1,5,Lvl,Gtl,8532,Inside,Reg,0,20,RL,650,BrkFace,10,NAmes,0,6,5,Y,0,CompShg,Hip,Normal,153000,WD,0,1297,0,64,1,2
39,0,3,1Fam,5,1,6,1,5,Y,Norm,SBrkr,0,7,5,VinylSd,0,0,CBlock,246,1,5,1,5,Detchd,1057,GasA,5,1Story,1,7,Lvl,Gtl,7922,Inside,Reg,0,20,RL,0,None,1,NAmes,52,7,5,Y,0,CompShg,Gable,Abnorml,109000,WD,0,1057,0,65,1,2
40,0,2,Duplex,0,0,0,0,0,N,Norm,FuseP,0,5,5,AsbShng,0,0,PConc,0,0,0,0,0,No,1152,GasA,5,1Story,2,3,Lvl,Gtl,6040,Inside,Reg,0,90,RL,0,None,6,Edwards,0,5,4,N,0,CompShg,Gable,AdjLand,82000,WD,0,0,0,63,2,2
41,0,3,1Fam,5,1,3,1,5,Y,Norm,SBrkr,0,5,5,Wd Sdng,5,1,CBlock,440,2,5,2,5,Attchd,1324,GasA,9,1Story,1,5,Lvl,Gtl,8658,Inside,Reg,0,20,RL,101,BrkFace,12,NAmes,138,5,6,Y,0,CompShg,Gable,Abnorml,160000,WD,0,1088,0,53,2,2
42,0,2,1Fam,5,4,4,1,5,Y,Norm,SBrkr,0,7,5,VinylSd,7,2,CBlock,308,1,5,2,5,Attchd,1328,GasA,7,1Story,1,5,Lvl,Gtl,16905,Inside,Reg,0,20,RL,0,None,7,Timber,104,6,5,P,0,CompShg,Gable,Normal,170000,WD,0,1350,0,59,2,3
43,0,2,1Fam,5,3,5,2,7,Y,Norm,SBrkr,0,5,5,HdBoard,0,0,CBlock,504,2,7,2,5,Attchd,884,GasA,7,SFoyer,1,7,Lvl,Gtl,9180,CulDSac,IR1,0,85,RL,0,None,12,SawyerW,0,7,5,Y,0,CompShg,Gable,Normal,144000,WD,0,840,240,35,2,2
44,0,3,1Fam,5,3,2,4,7,Y,Norm,SBrkr,0,5,5,VinylSd,0,0,CBlock,308,1,5,1,5,Detchd,938,GasA,5,1Story,1,5,Lvl,Gtl,9200,CulDSac,IR1,0,20,RL,0,None,7,CollgCr,0,6,5,Y,0,CompShg,Hip,Normal,130250,WD,0,938,145,43,1,2
45,0,3,1Fam,5,1,5,4,5,Y,Norm,FuseA,0,5,5,BrkFace,0,0,CBlock,300,1,5,2,5,Attchd,1150,GasA,9,1Story,1,5,Lvl,Gtl,7945,Inside,Reg,0,20,RL,0,None,5,NAmes,0,6,5,Y,0,CompShg,Gable,Normal,141000,WD,0,1150,0,59,2,2
46,0,2,TwnhsE,5,1,6,1,9,Y,Norm,SBrkr,0,5,9,MetalSd,7,1,PConc,576,2,5,2,5,Attchd,1752,GasA,9,1Story,1,9,Lvl,Gtl,7658,Inside,Reg,0,120,RL,412,BrkFace,2,NridgHt,82,5,9,Y,0,CompShg,Hip,Normal,319900,WD,0,1752,196,13,3,3
47,0,1,1Fam,5,1,6,1,9,Y,Norm,SBrkr,0,5,7,VinylSd,9,1,PConc,670,2,5,2,5,Attchd,2149,GasA,9,1.5Fin,1,7,Lvl,Gtl,12822,CulDSac,IR1,0,50,RL,0,None,8,Mitchel,43,5,7,Y,0,CompShg,Gable,Abnorml,239686,WD,198,1434,168,15,4,3
48,0,3,1Fam,5,3,6,1,7,Y,Norm,SBrkr,0,5,7,VinylSd,0,0,PConc,826,3,5,2,5,Attchd,1656,GasA,9,1Story,1,7,Lvl,Gtl,11096,Inside,Reg,0,20,FV,0,None,7,Somerst,146,5,8,Y,0,CompShg,Gable,Normal,249700,WD,0,1656,0,12,3,2
49,0,2,2fmCon,5,1,1,1,5,Y,Norm,SBrkr,102,5,5,MetalSd,0,0,BrkTil,0,0,0,0,0,No,1452,GasA,7,2Story,3,5,Lvl,Gtl,4456,Inside,Reg,0,190,RM,0,None,6,OldTown,0,5,4,N,0,CompShg,Gable,Partial,113000,New,0,736,0,98,3,2
50,0,3,1Fam,5,1,4,1,5,Y,Norm,SBrkr,0,5,5,HdBoard,0,0,CBlock,386,1,5,1,5,Attchd,955,GasA,9,1Story,1,5,Lvl,Gtl,7742,Inside,Reg,0,20,RL,0,None,1,Sawyer,0,7,5,Y,0,CompShg,Gable,Normal,127000,WD,0,955,0,52,2,2
51,0,3,1Fam,5,3,6,1,7,Y,Norm,SBrkr,0,5,5,VinylSd,0,0,PConc,388,2,5,3,5,Attchd,1470,GasA,7,2Story,1,5,Lvl,Gtl,13869,Corner,IR2,0,60,RL,0,None,7,Gilbert,75,6,6,Y,0,CompShg,Gable,Normal,177000,WD,0,794,0,21,2,3
52,0,3,1Fam,5,1,1,1,5,Y,Norm,SBrkr,0,5,5,Wd Sdng,7,1,PConc,528,2,5,1,5,Detchd,1176,GasA,5,1.5Fin,1,5,Lvl,Gtl,6240,Inside,Reg,360,50,RM,0,None,9,BrkSide,0,6,6,Y,0,CompShg,Gable,Normal,114500,WD,0,816,112,84,2,1
53,0,2,Duplex,5,4,2,6,7,N,RRNn,SBrkr,0,5,3,Wd Sdng,0,0,CBlock,516,2,5,1,5,CarPort,816,GasA,5,1Story,1,5,Bnk,Mod,8472,Corner,IR2,0,90,RM,0,None,5,IDOTRR,0,5,5,Y,0,CompShg,Gable,Normal,110000,WD,0,816,106,55,2,2
54,0,0,1Fam,5,4,6,1,9,Y,Norm,SBrkr,0,5,7,WdShing,7,1,CBlock,894,3,5,3,5,Attchd,1842,GasA,7,1Story,1,7,Low,Gtl,50271,Inside,IR1,0,20,RL,0,None,11,Veenker,72,5,9,Y,0,WdShngl,Gable,Normal,385000,WD,0,1842,857,37,4,3
55,0,3,1Fam,5,1,5,1,5,Y,Norm,SBrkr,0,5,5,MetalSd,5,1,CBlock,572,2,5,1,5,Detchd,1360,GasA,5,SLvl,1,5,Bnk,Mod,7134,Inside,Reg,0,80,RL,0,None,2,NAmes,50,5,5,Y,0,CompShg,Gable,Normal,130000,WD,0,384,0,63,2,1
56,407,3,1Fam,5,1,4,1,5,Y,Norm,SBrkr,0,5,5,HdBoard,7,1,CBlock,576,2,5,2,5,Attchd,1425,GasA,7,1Story,1,5,Lvl,Gtl,10175,Inside,IR1,0,20,RL,272,BrkFace,7,NAmes,0,5,6,Y,0,CompShg,Gable,Normal,180500,WD,0,1425,0,54,3,2
57,0,3,Twnhs,5,1,6,1,7,Y,Norm,SBrkr,0,5,7,MetalSd,0,0,PConc,480,2,5,3,5,Attchd,1739,GasA,9,2Story,1,7,Lvl,Gtl,2645,Inside,Reg,0,160,FV,456,BrkFace,8,Somerst,0,5,8,Y,0,CompShg,Gable,Abnorml,172500,WD,0,970,115,19,3,4
58,0,3,1Fam,5,1,1,1,7,Y,Norm,SBrkr,0,5,7,VinylSd,0,0,PConc,565,2,5,2,5,Attchd,1720,GasA,9,2Story,1,7,Lvl,Gtl,11645,Corner,IR1,0,60,RL,0,None,8,CollgCr,70,5,7,Y,0,CompShg,Gable,Normal,196500,WD,0,860,0,14,3,3
59,0,3,1Fam,5,4,1,1,9,Y,Norm,SBrkr,37,5,9,VinylSd,7,1,PConc,641,3,5,3,5,BuiltIn,2945,GasA,9,2Story,1,7,HLS,Gtl,13682,CulDSac,IR2,0,60,RL,1031,BrkFace,10,StoneBr,0,5,10,Y,0,CompShg,Hip,Partial,438780,New,0,1410,192,12,6,4
60,0,2,1Fam,5,3,5,1,5,Y,Norm,SBrkr,0,5,5,HdBoard,0,0,CBlock,352,1,5,1,5,Detchd,780,GasA,9,1Story,1,5,Bnk,Gtl,7200,Inside,Reg,0,20,RL,0,None,1,CollgCr,0,7,5,Y,0,CompShg,Gable,Normal,124900,WD,0,780,196,46,1,1
61,0,3,1Fam,5,1,5,1,7,Y,RRAe,SBrkr,0,5,5,VinylSd,0,0,PConc,576,2,5,1,5,Detchd,1158,GasA,9,1Story,1,7,Lvl,Gtl,13072,Inside,Reg,0,20,RL,0,None,5,SawyerW,50,5,6,Y,0,CompShg,Gable,Partial,158000,New,0,1158,0,14,1,3
62,0,3,1Fam,3,1,1,1,5,N,Norm,SBrkr,144,5,5,MetalSd,0,0,BrkTil,288,1,5,1,5,Detchd,1111,GasA,5,2.5Unf,1,3,Lvl,Gtl,7200,Inside,Reg,0,75,RM,0,None,3,IDOTRR,0,7,5,N,0,CompShg,Gable,Normal,101000,WD,0,530,0,98,2,1
63,0,2,TwnhsE,7,2,6,1,7,Y,Norm,SBrkr,0,5,7,VinylSd,7,1,PConc,484,2,5,2,5,Attchd,1370,GasA,9,1Story,1,7,Lvl,Gtl,6442,Inside,IR1,0,120,RL,178,Stone,10,NridgHt,49,5,8,Y,0,CompShg,Gable,Normal,202500,WD,0,1370,120,12,3,2
64,0,3,1Fam,5,1,1,1,5,Y,RRAn,SBrkr,64,5,5,Stucco,0,0,BrkTil,480,2,5,1,5,Detchd,1710,GasA,7,2Story,1,5,Bnk,Gtl,10300,Inside,IR1,0,70,RM,0,None,4,OldTown,11,6,7,Y,0,CompShg,Gable,Normal,140000,WD,0,576,12,97,5,2
65,0,3,1Fam,5,1,6,1,7,Y,Norm,SBrkr,0,5,5,VinylSd,0,0,PConc,645,2,5,2,5,Attchd,2034,GasA,9,2Story,1,7,Lvl,Gtl,9375,Inside,Reg,0,60,RL,573,BrkFace,2,CollgCr,36,5,7,Y,0,CompShg,Gable,Normal,219500,WD,0,1057,576,21,4,4
66,0,4,1Fam,5,3,1,1,9,Y,Norm,SBrkr,0,5,7,VinylSd,7,1,PConc,852,3,5,2,5,BuiltIn,2473,GasA,9,2Story,1,7,Lvl,Gtl,9591,Inside,Reg,0,60,RL,344,BrkFace,10,NridgHt,151,5,8,Y,0,CompShg,Gable,Normal,317000,WD,0,1143,192,14,4,3
67,0,3,1Fam,5,4,6,1,7,Y,PosA,SBrkr,0,5,5,Plywood,7,1,CBlock,576,2,5,2,5,Attchd,2207,GasA,5,1Story,1,5,Lvl,Gtl,19900,Inside,Reg,0,20,RL,287,BrkFace,7,NAmes,0,5,7,Y,0,CompShg,Gable,Normal,180000,WD,0,1947,301,48,3,3
68,0,3,1Fam,5,3,6,1,7,Y,Norm,SBrkr,0,5,7,VinylSd,0,0,PConc,558,2,5,2,5,Attchd,1479,GasA,9,1Story,1,7,Lvl,Gtl,10665,Inside,IR1,0,20,RL,167,BrkFace,6,CollgCr,29,5,7,Y,0,CompShg,Gable,Normal,226000,WD,0,1453,144,15,3,3
69,0,2,1Fam,5,1,1,1,5,Y,Artery,SBrkr,0,7,5,MetalSd,0,0,CBlock,220,1,5,1,5,Attchd,747,GasA,5,1Story,1,5,Lvl,Gtl,4608,Corner,Reg,0,30,RM,0,None,6,OldTown,0,6,4,Y,0,CompShg,Gable,Normal,80000,WD,0,747,0,73,1,1
70,0,3,1Fam,5,1,4,1,5,Y,Norm,SBrkr,114,5,7,BrkFace,5,1,CBlock,667,2,5,3,5,Attchd,2287,GasW,5,1.5Fin,1,5,Lvl,Gtl,15593,Corner,Reg,0,50,RL,0,None,7,ClearCr,21,4,7,Y,0,CompShg,Gable,Normal,225000,WD,0,1304,0,65,3,2
71,0,3,1Fam,5,4,5,1,7,Y,Norm,SBrkr,0,7,5,Plywood,7,2,CBlock,516,2,5,3,5,Attchd,2223,GasA,9,1Story,1,5,Lvl,Gtl,13651,Inside,IR1,0,20,RL,1115,BrkFace,2,NAmes,0,6,7,Y,0,CompShg,Gable,Normal,244000,WD,0,2223,300,45,4,3
72,0,2,1Fam,5,1,5,1,5,Y,Norm,SBrkr,0,5,5,HdBoard,0,0,CBlock,360,2,5,1,5,Detchd,845,GasA,5,1Story,1,5,Lvl,Gtl,7599,Corner,Reg,0,20,RL,0,None,6,Mitchel,0,6,4,Y,0,CompShg,Gable,Normal,129500,WD,0,845,0,36,1,2
73,0,3,1Fam,5,1,1,1,7,Y,Norm,SBrkr,0,5,5,VinylSd,5,1,PConc,427,2,5,3,5,Attchd,1718,GasA,7,2Story,1,5,Lvl,Gtl,10141,Corner,IR1,0,60,RL,40,BrkFace,12,Gilbert,94,5,7,Y,0,CompShg,Gable,Normal,185000,WD,291,832,0,20,3,3
74,0,3,1Fam,5,1,5,4,5,Y,Norm,SBrkr,0,5,5,Wd Sdng,0,0,CBlock,490,2,5,1,5,Attchd,1086,GasA,7,1Story,1,5,Lvl,Gtl,10200,Inside,Reg,0,20,RL,104,BrkFace,5,NAmes,0,7,5,Y,0,CompShg,Gable,Normal,144900,WD,0,1086,0,64,2,2
75,0,3,1Fam,5,1,1,1,3,N,Norm,SBrkr,202,7,7,VinylSd,0,0,CBlock,379,1,5,1,5,Detchd,1605,GasA,7,2Story,2,5,Lvl,Gtl,5790,Corner,Reg,0,50,RM,0,None,5,OldTown,0,6,3,Y,0,CompShg,Gambrel,Normal,107400,WD,0,840,0,103,3,2
76,0,2,Twnhs,5,4,6,1,7,Y,Norm,SBrkr,0,5,5,CemntBd,0,0,CBlock,297,1,5,1,5,BuiltIn,988,GasA,5,SLvl,1,5,Lvl,Gtl,1596,Inside,Reg,0,180,RM,0,None,11,MeadowV,101,5,4,Y,0,CompShg,Gable,Normal,91000,WD,0,462,120,45,2,2
77,0,2,1Fam,5,1,5,1,5,Y,Norm,FuseA,0,5,5,VinylSd,0,0,CBlock,283,1,5,1,5,Detchd,952,GasA,9,1Story,1,5,Lvl,Gtl,8475,Inside,IR1,0,20,RL,0,None,4,NAmes,0,7,4,Y,0,CompShg,Gable,Normal,135750,WD,0,952,0,62,1,1
